district_id,year,function_code,function_name,amount,pct
723,2013,1200,Special Programs,0.0,0.0
723,2013,1300,Vocational Programs,0.0,0.0
723,2013,1400,Other Instructional Programs,0.0,0.0
723,2013,2100,Student Support Services,1.0,0.0
723,2013,2200,Instructional Staff Support,0.0,0.0
723,2013,2300&2800,Genral Administration & Business,10326.0,5.6
723,2013,2400,School Administration,42189.0,23.0
723,2013,2500,Business Services,6000.0,3.3
723,2013,2600,Plant Operations,0.0,0.0
723,2013,2700,Transportation,0.0,0.0
723,2013,2900,Other Support Services,0.0,0.0
723,2013,1500,Non-public Programs,0.0,0.0
723,2013,"1600-1800,2750",Community Programs,0.0,0.0
723,2013,5120,Bond Interest,0.0,0.0
723,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
723,2013,3100,Food Service,0.0,0.0
723,2013,4000,Facility Construction,0.0,
723,2013,5100,Bonds & Notes Principal Repayment,0.0,
75,2013,1100,Regular Education,2534987.0,49.1
75,2013,1200,Special Programs,826499.0,16.0
75,2013,1300,Vocational Programs,0.0,0.0
75,2013,1400,Other Instructional Programs,54531.0,1.1
75,2013,2100,Student Support Services,426936.0,8.3
75,2013,2200,Instructional Staff Support,85207.0,1.7
75,2013,2300&2800,Genral Administration & Business,199209.0,3.9
75,2013,2400,School Administration,321705.0,6.2
75,2013,2500,Business Services,344.0,0.0
75,2013,2600,Plant Operations,363405.0,7.0
75,2013,2700,Transportation,216186.0,4.2
75,2013,2900,Other Support Services,0.0,0.0
75,2013,1500,Non-public Programs,0.0,0.0
75,2013,"1600-1800,2750",Community Programs,37691.0,0.7
75,2013,5120,Bond Interest,0.0,0.0
75,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
75,2013,3100,Food Service,91048.31,1.8
75,2013,4000,Facility Construction,305617.0,
75,2013,5100,Bonds & Notes Principal Repayment,0.0,
79,2013,1100,Regular Education,3771117.0,48.7
79,2013,1200,Special Programs,1835393.0,23.7
79,2013,1300,Vocational Programs,0.0,0.0
79,2013,1400,Other Instructional Programs,39356.0,0.5
79,2013,2100,Student Support Services,395977.0,5.1
79,2013,2200,Instructional Staff Support,138034.0,1.8
79,2013,2300&2800,Genral Administration & Business,312501.0,4.0
79,2013,2400,School Administration,325162.0,4.2
79,2013,2500,Business Services,3185.0,0.0
79,2013,2600,Plant Operations,394691.0,5.1
79,2013,2700,Transportation,484101.0,6.3
79,2013,2900,Other Support Services,0.0,0.0
79,2013,1500,Non-public Programs,0.0,0.0
79,2013,"1600-1800,2750",Community Programs,0.0,0.0
79,2013,5120,Bond Interest,0.0,0.0
79,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
79,2013,3100,Food Service,40710.899999999994,0.5
79,2013,4000,Facility Construction,0.0,
79,2013,5100,Bonds & Notes Principal Repayment,0.0,
91,2013,1100,Regular Education,459753.0,65.4
91,2013,1200,Special Programs,160598.0,22.8
91,2013,1300,Vocational Programs,0.0,0.0
91,2013,1400,Other Instructional Programs,0.0,0.0
91,2013,2100,Student Support Services,0.0,0.0
91,2013,2200,Instructional Staff Support,0.0,0.0
91,2013,2300&2800,Genral Administration & Business,12800.0,1.8
91,2013,2400,School Administration,0.0,0.0
91,2013,2500,Business Services,0.0,0.0
91,2013,2600,Plant Operations,0.0,0.0
91,2013,2700,Transportation,70297.0,10.0
91,2013,2900,Other Support Services,0.0,0.0
91,2013,1500,Non-public Programs,0.0,0.0
91,2013,"1600-1800,2750",Community Programs,0.0,0.0
91,2013,5120,Bond Interest,0.0,0.0
91,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
91,2013,3100,Food Service,0.0,0.0
91,2013,4000,Facility Construction,0.0,
91,2013,5100,Bonds & Notes Principal Repayment,0.0,
93,2013,1100,Regular Education,6120603.0,56.4
93,2013,1200,Special Programs,1622955.0,15.0
93,2013,1300,Vocational Programs,0.0,0.0
93,2013,1400,Other Instructional Programs,49862.0,0.5
93,2013,2100,Student Support Services,426918.0,3.9
93,2013,2200,Instructional Staff Support,324224.0,3.0
93,2013,2300&2800,Genral Administration & Business,434950.0,4.0
93,2013,2400,School Administration,631601.0,5.8
93,2013,2500,Business Services,0.0,0.0
93,2013,2600,Plant Operations,658628.0,6.1
93,2013,2700,Transportation,468589.0,4.3
